1stFlrSF,2ndFlrSF,3SsnPorch,BedroomAbvGr,EnclosedPorch,Fireplaces,FullBath,GrLivArea,HalfBath,KitchenAbvGr,LotArea,LowQualFinSF,MiscVal,OpenPorchSF,OverallCond,OverallQual,PoolArea,ScreenPorch,TotRmsAbvGrd,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice
856,854,0,3,0,0,2,1710,1,1,8450,0,0,61,5,7,0,0,8,0,2003,2003,208500
1262,0,0,3,0,1,2,1262,0,1,9600,0,0,0,8,6,0,0,6,298,1976,1976,181500
920,866,0,3,0,1,2,1786,1,1,11250,0,0,42,5,7,0,0,6,0,2001,2002,223500
961,756,0,3,272,1,1,1717,0,1,9550,0,0,35,5,7,0,0,7,0,1915,1970,140000
1145,1053,0,4,0,1,2,2198,1,1,14260,0,0,84,5,8,0,0,9,192,2000,2000,250000
796,566,320,1,0,0,1,1362,1,1,14115,0,700,30,5,5,0,0,5,40,1993,1995,143000
1694,0,0,3,0,1,2,1694,0,1,10084,0,0,57,5,8,0,0,7,255,2004,2005,307000
1107,983,0,3,228,2,2,2090,1,1,10382,0,350,204,6,7,0,0,7,235,1973,1973,200000
1022,752,0,2,205,2,2,1774,0,2,6120,0,0,0,5,7,0,0,8,90,1931,1950,129900
1077,0,0,2,0,2,1,1077,0,2,7420,0,0,4,6,5,0,0,5,0,1939,1950,118000
1040,0,0,3,0,0,1,1040,0,1,11200,0,0,0,5,5,0,0,5,0,1965,1965,129500
1182,1142,0,4,0,2,3,2324,0,1,11924,0,0,21,5,9,0,0,11,147,2005,2006,345000
912,0,0,2,0,0,1,912,0,1,12968,0,0,0,6,5,0,176,4,140,1962,1962,144000
1494,0,0,3,0,1,2,1494,0,1,10652,0,0,33,5,7,0,0,7,160,2006,2007,279500
1253,0,0,2,176,1,1,1253,1,1,10920,0,0,213,5,6,0,0,5,0,1960,1960,157000
854,0,0,2,0,0,1,854,0,1,6120,0,0,112,8,7,0,0,5,48,1929,2001,132000
1004,0,0,2,0,1,1,1004,0,1,11241,0,700,0,7,6,0,0,5,0,1970,1970,149000
1296,0,0,2,0,0,2,1296,0,2,10791,0,500,0,5,4,0,0,6,0,1967,1967,90000
1114,0,0,3,0,0,1,1114,1,1,13695,0,0,102,5,5,0,0,6,0,2004,2004,159000
1339,0,0,3,0,0,1,1339,0,1,7560,0,0,0,6,5,0,0,6,0,1958,1965,139000
1158,1218,0,4,0,1,3,2376,1,1,14215,0,0,154,5,8,0,0,9,240,2005,2006,325300
1108,0,0,3,205,1,1,1108,0,1,7449,0,0,0,7,7,0,0,6,0,1930,1950,139400
1795,0,0,3,0,1,2,1795,0,1,9742,0,0,159,5,8,0,0,7,171,2002,2002,230000
1060,0,0,3,0,1,1,1060,0,1,4224,0,0,110,7,5,0,0,6,100,1976,1976,129900
1060,0,0,3,0,1,1,1060,0,1,8246,0,0,90,8,5,0,0,6,406,1968,2001,154000
1600,0,0,3,0,1,2,1600,0,1,14230,0,0,56,5,8,0,0,7,0,2007,2007,256300
900,0,0,3,0,0,1,900,0,1,7200,0,0,32,7,5,0,0,5,222,1951,2000,134800
1704,0,0,3,0,1,2,1704,0,1,11478,0,0,50,5,8,0,0,7,0,2007,2008,306000
1600,0,0,2,0,2,1,1600,0,1,16321,0,0,258,6,5,0,0,6,288,1957,1997,207500
520,0,0,1,87,0,1,520,0,1,6324,0,0,0,6,4,0,0,4,49,1927,1950,68500
649,668,0,3,172,0,1,1317,0,1,8500,0,0,54,4,4,0,0,6,0,1920,1950,40000
1228,0,0,3,0,0,1,1228,1,1,8544,0,0,65,6,5,0,0,6,0,1966,2006,149350
1234,0,0,3,0,0,2,1234,0,1,11049,0,0,30,5,8,0,0,7,0,2007,2007,179900
1700,0,0,4,0,1,1,1700,1,1,10552,0,0,38,5,5,0,0,6,0,1959,1959,165500
1561,0,0,2,0,1,2,1561,0,1,7313,0,0,47,5,9,0,0,6,203,2005,2005,277500
